Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
"31,08-11-2021,Antonio Bayod Calvo,1,Alcalde Del Ayuntamiento De Torralba De Aragón,PAR,Ayuntamiento De Torralba De Aragón,""0,00"",""0,00"",,,,"
"32,08-11-2021,Jose Maria Raso Castillon,1,Alcalde Del Ayuntamiento De Valle De Bardají,PSOE,Ayuntamiento De Valle De Bardají,""0,00"",""0,00"",,,,"
"33,08-11-2021,José María Ariño Castel,1,Alcalde Del Ayuntamiento De Valle De Lierp,PSOE,Ayuntamiento De Valle De Lierp,""0,00"",""0,00"",,,,"
"34,08-11-2021,Javier Campo Morlans,1,Alcalde Del Ayuntamiento De Yésero,PSOE,Ayuntamiento De Yésero,""0,00"",""0,00"",,,,"
"35,08-11-2021,Nadal Torres Bujosa,1,Alcalde Del Ayuntamiento De Valldemossa,G.I.V.,Ayuntamiento De Valldemossa,""5130,00"",""366,43"",,,,"
"36,08-11-2021,Jose Antonio Alvarez Cachon,1,Alcalde Del Ayuntamiento De Candín,PP,Ayuntamiento De Candín,""13.454,80"",""961,06"",,,,"
"37,08-11-2021,Nicanor Jorge Sen Velez,1,Alcalde Del Ayuntamiento De Cistierna,PSOE,Ayuntamiento De Cistierna,""0,00"",""0,00"",,,,"
"38,08-11-2021,Manuel Yebra Gomez,1,Alcalde Del Ayuntamiento De Omañas Las,PSOE,Ayuntamiento De Omañas Las,""150,00"",""10,71"",,,,"
"39,08-11-2021,Vicente Diaz Fernandez,1,Alcalde Del Ayuntamiento De Peranzanes,PSOE,Ayuntamiento De Peranzanes,""7445,00"",""531,79"",,,,"
"40,08-11-2021,Mª Carme Ribó I Domenjó,1,Alcaldesa Del Ayuntamiento De Alàs I Cerc,JxCat-JUNTS,Ayuntamiento De Alàs I Cerc,""0,00"",""0,00"",,,,"
"41,08-11-2021,Salvador Tomas Bosch,1,Alcalde Del Ayuntamiento De Lladorre,JUNTS,Ayuntamiento De Lladorre,""31.402,36"",""2.243,03"",,,,"
"42,08-11-2021,Jose Antonio Troguet Ballarin,1,Alcalde Del Ayuntamiento De Pont De Suert El,JxCat-JUNTS,Ayuntamiento De Pont De Suert El,""21.522,06"",""1.537,29"",,,,"
"43,08-11-2021,Antonio Del Pozo González,1,Alcalde Del Ayuntamiento De Berzosa Del Lozoya,PP,Ayuntamiento De Berzosa Del Lozoya,""0,00"",""0,00"",,,,"
"44,08-11-2021,Rafael Barcala Gómez,1,Alcalde Del Ayuntamiento De Brea De Tajo,PP,Ayuntamiento De Brea De Tajo,""32.475,95"",""2.319,71"",,,,"
"45,08-11-2021,Eva Maria Gallego Berzal,1,Alcaldesa Del Ayuntamiento De Madarcos,PP,Ayuntamiento De Madarcos,""0,00"",""0,00"",,,,"
"46,08-11-2021,Rafael Turnes García,1,Alcalde Del Ayuntamiento De Pedrezuela,PODEMOS-SOMOSV,Ayuntamiento De Pedrezuela,""38.721,43"",""2.765,82"",,,,"
"47,08-11-2021,Alejandro Romero Fernandez,1,Alcalde Del Ayuntamiento De Prádena Del Rincón,PP,Ayuntamiento De Prádena Del Rincón,""0,00"",""0,00"",,,,"
"48,08-11-2021,Aurelio Bravo Bernal,1,Alcalde Del Ayuntamiento De Puebla De La Sierra,PP,Ayuntamiento De Puebla De La Sierra,""0,00"",""0,00"",,,,"
"49,08-11-2021,Francisco Sanz Gutiérrrez,1,Alcalde Del Ayuntamiento De Somosierra,PSOE,Ayuntamiento De Somosierra,""0,00"",""0,00"",,,,"
"50,08-11-2021,Francisco Guerrero Cuadrado,1,Alcalde Del Ayuntamiento De Campillos,ADELANTE,Ayuntamiento De Campillos,""27.189,88"",""1.942,13"",,,,"
"51,08-11-2021,Francisco Javier Andreo Canovas,1,Alcalde Del Ayuntamiento De Aledo,Cs,Ayuntamiento De Aledo,""38.882,76"",""2.777,34"",,,,"
"52,08-11-2021,Antonio Huescar Perez,1,Alcalde Del Ayuntamiento De Pliego,PP,Ayuntamiento De Pliego,""43.691,06"",""3.120,79"",,,,"
"53,08-11-2021,Emilio Luis Diaz Vidal,1,Alcalde Del Ayuntamiento De Melón,PSdeG-PSOE,Ayuntamiento De Melón,""28.392,24"",""2.028,02"",,,,"
"54,08-11-2021,José Luís Valladares Fernández,1,Alcalde Del Ayuntamiento De San Cristovo De Cea,PP,Ayuntamiento De San Cristovo De Cea,""624,00"",""44,57"",,,,"
"55,08-11-2021,Gerardo Seoane Fidalgo,1,Alcalde Del Ayuntamiento De Verín,PSdeG-PSOE,Ayuntamiento De Verín,""24.395,30"",""1.742,52"",,,,"
"56,08-11-2021,Carlos Gomez Blanco,1,Alcalde Del Ayuntamiento De Xunqueira De Espadanedo,PP,Ayuntamiento De Xunqueira De Espadanedo,""42.939,20"",""3.067,09"",,,,"
